НАЗВАНИЕ,ОПИСАНИЕ,ЦЕНА,"ВАЛЮТНЫЙ КОД",КОЛИЧЕСТВО,ТЕГИ,МАТЕРИАЛЫ,ИЗОБРАЖЕНИЕ1,ИЗОБРАЖЕНИЕ2,ИЗОБРАЖЕНИЕ3,ИЗОБРАЖЕНИЕ4,ИЗОБРАЖЕНИЕ5,ИЗОБРАЖЕНИЕ6,ИЗОБРАЖЕНИЕ7,ИЗОБРАЖЕНИЕ8,ИЗОБРАЖЕНИЕ9,ИЗОБРАЖЕНИЕ10,"ТИП ВАРИАНТА 1","ИМЯ ВАРИАНТА 1","ЗНАЧЕНИЯ ВАРИАНТА 1","ТИП ВАРИАНТА 2","ИМЯ ВАРИАНТА 2","ЗНАЧЕНИЯ ВАРИАНТА 2",SKU
"Природное Балтийское янтарное кольцо, Янтарные украшения, Кольцо для нее, женское кольцо","Вес: 6,1 г

Изделие ручной работы
Наш интернет-магазин янтаря предлагает вам замечательные продукты, созданные самой природой. На наших виртуальных витринах вы увидите янтарные изделия, которые имеют красоту, оригинальность и уникальные свойства. С древних времен было известно, что янтарь является волшебным камнем. Добывается в карьерах «голубой земли», на пляжах и косяках. Затем они обрабатываются и даются миру.",24.4,USD,1,"Natural_Baltic_Amber,Women_Ring,Ring_For_Her,Amber_Jewelry,Promise_Ring,Ring,Amber_inclusions",Серебро,https://i.etsystatic.com/26718419/r/il/79bed3/3498069979/il_fullxfull.3498069979_n3hx.jpg,https://i.etsystatic.com/26718419/r/il/884ffe/3450406510/il_fullxfull.3450406510_5tvt.jpg,https://i.etsystatic.com/26718419/r/il/d6e5dc/3498069619/il_fullxfull.3498069619_28fk.jpg,https://i.etsystatic.com/26718419/r/il/f0309d/3498069617/il_fullxfull.3498069617_4cxj.jpg,https://i.etsystatic.com/26718419/r/il/a128c7/3498069621/il_fullxfull.3498069621_ol6l.jpg,https://i.etsystatic.com/26718419/r/il/2c764c/3450406514/il_fullxfull.3450406514_gne2.jpg,,,,,,,,,,,2200000311771
"Винтажные стильные часы из натурального королевского янтарного природного камня 100% балтийский янтарь","Вес: 106,52 г


Изделия изготовлены из натурального янтаря, который уже давно славится своим благородным внешним видом и создает эффект теплого комфорта солнечных лучей. Благодаря тому, что натуральный янтарь имеет различную структуру и цвет, изделия из этого материала очень уникальны и отличаются друг от друга. Приобретая кулон с янтарем, человек получает уникальный продукт из материала, структура которого формировалась природой, а мастер превратил его в украшение.",1398.1,USD,1,"amber_necklace,amber,baltic_amber,amber_pendant,amber_stone,natural_amber,natural_amulet,baltic_sea_amber,beads,amber_beads",,https://i.etsystatic.com/26718419/r/il/34cb7e/2911421402/il_fullxfull.2911421402_5sp6.jpg,https://i.etsystatic.com/26718419/r/il/def43a/2959110191/il_fullxfull.2959110191_5qly.jpg,https://i.etsystatic.com/26718419/r/il/03a3a2/2959110169/il_fullxfull.2959110169_qhoo.jpg,https://i.etsystatic.com/26718419/r/il/ed8d48/2959110175/il_fullxfull.2959110175_4scp.jpg,https://i.etsystatic.com/26718419/r/il/9289ba/2911421396/il_fullxfull.2911421396_p53p.jpg,https://i.etsystatic.com/26718419/r/il/85b5d0/2959110181/il_fullxfull.2959110181_6f7o.jpg,https://i.etsystatic.com/26718419/r/il/ce922f/2959110185/il_fullxfull.2959110185_8hhe.jpg,https://i.etsystatic.com/26718419/r/il/b90a99/2959110183/il_fullxfull.2959110183_rwv9.jpg,https://i.etsystatic.com/26718419/r/il/94faca/2959110177/il_fullxfull.2959110177_o9jy.jpg,https://i.etsystatic.com/26718419/r/il/f61f6e/2911421400/il_fullxfull.2911421400_1ak6.jpg,,,,,,,2200001264519
"Натуральный браслет с янтарем, балтийским янтарем, янтарными украшениями, браслетом","Вес: 5,39 г

Изделие ручной работы
Наш интернет-магазин янтаря предлагает вам замечательные продукты, созданные самой природой. На наших виртуальных витринах вы увидите янтарные изделия, которые имеют красоту, оригинальность и уникальные свойства. С древних времен было известно, что янтарь является волшебным камнем. Добывается в карьерах «голубой земли», на пляжах и косяках. Затем они обрабатываются и даются миру.",20.9,USD,1,"woman_bracelet,man_bracelet,green_amber,leather_bracelet,Amber_bracelet,Baltic_amber,amber_jewelry,bracelet",Серебро,https://i.etsystatic.com/26718419/r/il/0bbd75/2959096185/il_fullxfull.2959096185_q48e.jpg,https://i.etsystatic.com/26718419/r/il/3b9346/2959096193/il_fullxfull.2959096193_605t.jpg,https://i.etsystatic.com/26718419/r/il/d6aacb/2911407330/il_fullxfull.2911407330_tqyl.jpg,https://i.etsystatic.com/26718419/r/il/43e717/2959096143/il_fullxfull.2959096143_osbl.jpg,https://i.etsystatic.com/26718419/r/il/cd3fb1/2911407336/il_fullxfull.2911407336_5s4n.jpg,https://i.etsystatic.com/26718419/r/il/38694b/2911407338/il_fullxfull.2911407338_m65z.jpg,https://i.etsystatic.com/26718419/r/il/53825e/2959096173/il_fullxfull.2959096173_k4bh.jpg,https://i.etsystatic.com/26718419/r/il/f75b0e/2959096183/il_fullxfull.2959096183_lhyr.jpg,https://i.etsystatic.com/26718419/r/il/43b41a/2959096177/il_fullxfull.2959096177_8438.jpg,,,,,,,,2200000868671
"Натуральный браслет с янтарем, балтийским янтарем, янтарными украшениями, браслетом","Вес: 10 г

Изделие ручной работы
Наш интернет-магазин янтаря предлагает вам замечательные продукты, созданные самой природой. На наших виртуальных витринах вы увидите янтарные изделия, которые имеют красоту, оригинальность и уникальные свойства. С древних времен было известно, что янтарь является волшебным камнем. Добывается в карьерах «голубой земли», на пляжах и косяках. Затем они обрабатываются и даются миру.",42.9,USD,1,"woman_bracelet,man_bracelet,green_amber,leather_bracelet,Amber_bracelet,Baltic_amber,amber_jewelry,bracelet",Серебро,https://i.etsystatic.com/26718419/r/il/af9fa7/2911400084/il_fullxfull.2911400084_m5yz.jpg,https://i.etsystatic.com/26718419/r/il/8762db/2959088727/il_fullxfull.2959088727_d6qd.jpg,https://i.etsystatic.com/26718419/r/il/6c64f6/2911399696/il_fullxfull.2911399696_5af6.jpg,https://i.etsystatic.com/26718419/r/il/0131c1/2959088659/il_fullxfull.2959088659_84yl.jpg,https://i.etsystatic.com/26718419/r/il/1de22a/2911399706/il_fullxfull.2911399706_egr4.jpg,https://i.etsystatic.com/26718419/r/il/b3162a/2959088661/il_fullxfull.2959088661_fd8x.jpg,https://i.etsystatic.com/26718419/r/il/27b748/2911399766/il_fullxfull.2911399766_cvdo.jpg,https://i.etsystatic.com/26718419/r/il/a10f4c/2959088709/il_fullxfull.2959088709_bfej.jpg,https://i.etsystatic.com/26718419/r/il/4392fa/2959088719/il_fullxfull.2959088719_t333.jpg,https://i.etsystatic.com/26718419/r/il/8b6afd/2911399776/il_fullxfull.2911399776_gdkp.jpg,,,,,,,2200006453116
"Коричневый натуральный балтийский янтарь, серьги из стерлингового серебра, настоящий янтарь и филигранное серебро 925 квадратных сережек, украшения из русского янтаря","Коричневый натуральный балтийский янтарь, серьги из стерлингового серебра
длина: 4,5 см

Изделие ручной работы
Наш интернет-магазин янтаря предлагает вам замечательные продукты, созданные самой природой. На наших виртуальных витринах вы увидите янтарные изделия, которые имеют красоту, оригинальность и уникальные свойства. С древних времен было известно, что янтарь является волшебным камнем. Добывается в карьерах «голубой земли», на пляжах и косяках. Затем они обрабатываются и даются миру.

Красивые серьги из каменного янтаря, балтийские серьги из янтаря, ювелирные изделия из янтаря, ювелирные изделия",179,USD,1,"amber_Earrings,Baltic_amber,Amber_Jewellery,Gift_Jewelry,sterling_silver_925,Russian_jewelry,filigree_earrings,brown_natural_amber,square_earrings,genuine_amber,amber_present,cognac_amber_jewelry,dangle_earrings",Серебро,https://i.etsystatic.com/26718419/r/il/f9db8a/3435108500/il_fullxfull.3435108500_n0qq.jpg,https://i.etsystatic.com/26718419/r/il/bc9592/3482783201/il_fullxfull.3482783201_2pq1.jpg,https://i.etsystatic.com/26718419/r/il/34bca0/3435108506/il_fullxfull.3435108506_e2p8.jpg,https://i.etsystatic.com/26718419/r/il/979d87/3435108512/il_fullxfull.3435108512_ks15.jpg,https://i.etsystatic.com/26718419/r/il/5b033e/3482783203/il_fullxfull.3482783203_en4x.jpg,https://i.etsystatic.com/26718419/r/il/77bf85/3435108516/il_fullxfull.3435108516_736t.jpg,https://i.etsystatic.com/26718419/r/il/0d2c0b/3435108518/il_fullxfull.3435108518_er3s.jpg,https://i.etsystatic.com/26718419/r/il/912485/3482783207/il_fullxfull.3482783207_tty8.jpg,https://i.etsystatic.com/26718419/r/il/e43404/3435108520/il_fullxfull.3435108520_k684.jpg,,,,,,,,2200002713429
"Коричневый, желтый натуральный балтийский янтарь Цветочный кулон, Настоящий янтарный ромашковый пендент, Русские янтарные украшения","Коричневый, желтый натуральный балтийский янтарь Цветочный кулон
Длина: 9 см

Янтарные подвески являются уникальными украшениями с золотым цветом солнца.
Изделия изготовлены из натурального янтаря, который уже давно славится своим благородным внешним видом и создает эффект теплого комфорта солнечных лучей. Благодаря тому, что натуральный янтарь имеет различную структуру и цвет, изделия из этого материала очень уникальны и отличаются друг от друга. Приобретая кулон с янтарем, человек получает уникальный продукт из материала, структура которого формировалась природой, а мастер превратил его в украшение.",226,USD,1,"baltic_sea_amber,natural_amulet,honey_amber_stone,real_natural_amber,genuine_baltic_amber,Russian_jewellry,amber_gift_for_her,present_for_her,cute_pendant,amber_pendant,cognac_amber,flower_pendant,brown_silver_pendant",Янтарь,https://i.etsystatic.com/26718419/r/il/55336a/3482773963/il_fullxfull.3482773963_h0zt.jpg,https://i.etsystatic.com/26718419/r/il/287b25/3435099796/il_fullxfull.3435099796_39d9.jpg,https://i.etsystatic.com/26718419/r/il/ff3f43/3435099806/il_fullxfull.3435099806_av2w.jpg,https://i.etsystatic.com/26718419/r/il/d28f49/3482773957/il_fullxfull.3482773957_gv26.jpg,https://i.etsystatic.com/26718419/r/il/6e802a/3435099794/il_fullxfull.3435099794_ot21.jpg,https://i.etsystatic.com/26718419/r/il/111147/3482773959/il_fullxfull.3482773959_6u9z.jpg,https://i.etsystatic.com/26718419/r/il/131418/3482773965/il_fullxfull.3482773965_tk33.jpg,https://i.etsystatic.com/26718419/r/il/5cd6b6/3435099802/il_fullxfull.3435099802_eotq.jpg,,,,,,,,,2200001057852
"Оранжевый натуральный балтийский янтарь, серебряное ожерелье, медовый подлинный янтарный кулон, русские янтарные украшения","Оранжевое натуральное ожерелье из балтийского янтаря
Длина: 44 см

Янтарные подвески являются уникальными украшениями с золотым цветом солнца.
Изделия изготовлены из натурального янтаря, который уже давно славится своим благородным внешним видом и создает эффект теплого комфорта солнечных лучей. Благодаря тому, что натуральный янтарь имеет различную структуру и цвет, изделия из этого материала очень уникальны и отличаются друг от друга. Приобретая кулон с янтарем, человек получает уникальный продукт из материала, структура которого формировалась природой, а мастер превратил его в украшение.",254,USD,1,"baltic_sea_amber,natural_amulet,honey_amber_stone,real_natural_amber,genuine_baltic_amber,Russian_jewellry,amber_gift_for_her,yellow_pendant,present_for_her,cognac_amber,amber_necklace,silver_necklace,orange_amber",Янтарь,https://i.etsystatic.com/26718419/r/il/8219a8/3431248056/il_fullxfull.3431248056_guxx.jpg,https://i.etsystatic.com/26718419/r/il/c02ead/3478923401/il_fullxfull.3478923401_3t66.jpg,https://i.etsystatic.com/26718419/r/il/b4e0aa/3431248058/il_fullxfull.3431248058_4f5h.jpg,https://i.etsystatic.com/26718419/r/il/69604f/3478923403/il_fullxfull.3478923403_fcnd.jpg,https://i.etsystatic.com/26718419/r/il/3357b8/3478923411/il_fullxfull.3478923411_n2q9.jpg,https://i.etsystatic.com/26718419/r/il/fe4cd1/3478923405/il_fullxfull.3478923405_f08j.jpg,https://i.etsystatic.com/26718419/r/il/207e11/3478923409/il_fullxfull.3478923409_9u9m.jpg,https://i.etsystatic.com/26718419/r/il/6a5649/3431247924/il_fullxfull.3431247924_alj0.jpg,https://i.etsystatic.com/26718419/r/il/58f53c/3431247926/il_fullxfull.3431247926_fxts.jpg,https://i.etsystatic.com/26718419/r/il/ad5323/3478923415/il_fullxfull.3478923415_so6f.jpg,,,,,,,2200000412584
"Браслет из натурального балтийского янтаря, браслет из натурального янтаря Коричнево-желтый, русские разноцветные янтарные украшения","Браслет из натурального балтийского янтаря
Общий вес: 4.83 гр

Изделие ручной работы
Наш интернет-магазин янтаря предлагает вам замечательные продукты, созданные самой природой. На наших виртуальных витринах вы увидите янтарные изделия, которые имеют красоту, оригинальность и уникальные свойства. С древних времен было известно, что янтарь является волшебным камнем. Добывается в карьерах «голубой земли», на пляжах и косяках. Затем они обрабатываются и даются миру.",19,USD,1,"woman_bracelet,Amber_bracelet,Baltic_amber,amber_jewelry,yellow_real_amber,beaded_bracelet,natural_amber_beads,Russian_jewelry,genuine_amber,amber_gift_for_her,multicolored_amber,thin_amber_bracelet,brown_amber_bracelet",Янтарь,https://i.etsystatic.com/26718419/r/il/9d0af7/3431241412/il_fullxfull.3431241412_2m1d.jpg,https://i.etsystatic.com/26718419/r/il/35b337/3478916763/il_fullxfull.3478916763_1nhf.jpg,https://i.etsystatic.com/26718419/r/il/d680fb/3431241408/il_fullxfull.3431241408_jwrz.jpg,https://i.etsystatic.com/26718419/r/il/3cbabc/3431241394/il_fullxfull.3431241394_8cug.jpg,https://i.etsystatic.com/26718419/r/il/5c4810/3478916761/il_fullxfull.3478916761_cgmx.jpg,https://i.etsystatic.com/26718419/r/il/29c01f/3431241396/il_fullxfull.3431241396_i1vc.jpg,https://i.etsystatic.com/26718419/r/il/8da64a/3431241406/il_fullxfull.3431241406_hxdi.jpg,https://i.etsystatic.com/26718419/r/il/4ce851/3431241402/il_fullxfull.3431241402_8y3q.jpg,,,,,,,,,2200001333925
"Браслет из натуральной черной кожи с желтым янтарем, браслет из натурального балтийского квадратного янтаря, украшения из русского янтаря","Браслет из натуральной черной кожи с желтой янтарной деталью
длина: 23 см

Изделие ручной работы
Наш интернет-магазин янтаря предлагает вам замечательные продукты, созданные самой природой. На наших виртуальных витринах вы увидите янтарные изделия, которые имеют красоту, оригинальность и уникальные свойства. С древних времен было известно, что янтарь является волшебным камнем. Добывается в карьерах «голубой земли», на пляжах и косяках. Затем они обрабатываются и даются миру.",1061,USD,1,"woman_bracelet,man_bracelet,leather_bracelet,Amber_bracelet,Baltic_amber,amber_jewelry,yellow_amber,brown_bracelet,natural_amber,genuine_amber,Russian_jewellry,yellow_bracelet,black_leather",Янтарь,https://i.etsystatic.com/26718419/r/il/534190/3426652582/il_fullxfull.3426652582_epr1.jpg,https://i.etsystatic.com/26718419/r/il/22fe21/3426652604/il_fullxfull.3426652604_qifk.jpg,https://i.etsystatic.com/26718419/r/il/f11ad0/3426652602/il_fullxfull.3426652602_df73.jpg,https://i.etsystatic.com/26718419/r/il/71d7e2/3426652586/il_fullxfull.3426652586_lzwk.jpg,https://i.etsystatic.com/26718419/r/il/ea67a0/3474328051/il_fullxfull.3474328051_gsk0.jpg,https://i.etsystatic.com/26718419/r/il/ca2d6d/3426652590/il_fullxfull.3426652590_9zc8.jpg,https://i.etsystatic.com/26718419/r/il/781932/3474328057/il_fullxfull.3474328057_ahbp.jpg,https://i.etsystatic.com/26718419/r/il/06c393/3474328055/il_fullxfull.3474328055_n7a1.jpg,https://i.etsystatic.com/26718419/r/il/38b532/3474328059/il_fullxfull.3474328059_ocwz.jpg,,,,,,,,2200001414983
"Желтый натуральный балтийский янтарный кулон с сердцем, Медовый подлинный янтарный сердец, Русские янтарные украшения","Желтый натуральный балтийский янтарный сердечек кулон
Длина: 4 см

Янтарные подвески являются уникальными украшениями с золотым цветом солнца.
Изделия изготовлены из натурального янтаря, который уже давно славится своим благородным внешним видом и создает эффект теплого комфорта солнечных лучей. Благодаря тому, что натуральный янтарь имеет различную структуру и цвет, изделия из этого материала очень уникальны и отличаются друг от друга. Приобретая кулон с янтарем, человек получает уникальный продукт из материала, структура которого формировалась природой, а мастер превратил его в украшение.",36,USD,1,"baltic_sea_amber,natural_amulet,honey_amber_stone,real_natural_amber,genuine_baltic_amber,Russian_jewellry,amber_gift_for_her,yellow_pendant,present_for_her,heart_pendant,cognac_amber_heart,cute_pendant,amber_pendant",Янтарь,https://i.etsystatic.com/26718419/r/il/cdd208/3474317477/il_fullxfull.3474317477_hzyt.jpg,https://i.etsystatic.com/26718419/r/il/bb5991/3426640954/il_fullxfull.3426640954_gl1z.jpg,https://i.etsystatic.com/26718419/r/il/51db4c/3474316497/il_fullxfull.3474316497_6cye.jpg,https://i.etsystatic.com/26718419/r/il/1a3852/3474316501/il_fullxfull.3474316501_bms0.jpg,https://i.etsystatic.com/26718419/r/il/b89e88/3426640950/il_fullxfull.3426640950_hqyf.jpg,https://i.etsystatic.com/26718419/r/il/2a26bc/3426640952/il_fullxfull.3426640952_gnbb.jpg,https://i.etsystatic.com/26718419/r/il/c37eb5/3474316505/il_fullxfull.3474316505_101o.jpg,https://i.etsystatic.com/26718419/r/il/1e4c0f/3474316633/il_fullxfull.3474316633_jtnv.jpg,https://i.etsystatic.com/26718419/r/il/191f69/3426640958/il_fullxfull.3426640958_61hm.jpg,,,,,,,,2200001153974
